Hospitals,Address,State,Type,Status,COUNTY,Beds,County
TULSA-AMG SPECIALTY HOSPITAL,"2408 E. 81ST STREET, STE. 2800",OK,LONG TERM CARE,CLOSED,TULSA,40,Tulsa
TEXAS NEUROREHAB CENTER,"1106 WEST DITTMAR ROAD, BUILDING 9",TX,LONG TERM CARE,OPEN,TRAVIS,47,Travis
PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI NORTH,"600 ELIZABETH STREET, THIRD FLOOR",TX,LONG TERM CARE,OPEN,NUECES,22,Nueces
EL PASO LTAC HOSPITAL,"1221 NORTH COTTON, THIRD FLOOR",TX,LONG TERM CARE,OPEN,EL PASO,33,El Paso
TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,"1301 PENNSYLVANIA AVENUE, 4TH FLOOR",TX,LONG TERM CARE,OPEN,TARRANT,15,Tarrant
COLISEUM NORTHSIDE HOSPITAL,400 CHARTER BOULEVARD,GA,GENERAL ACUTE CARE,OPEN,BIBB,103,Bibb
MCLAREN BAY SPECIAL CARE HOSPITAL,"3250 E MIDLAND RD, SUITE 1",MI,LONG TERM CARE,OPEN,BAY,31,Bay
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,"4201 ST ANTOINE ST, 3M",MI,GENERAL ACUTE CARE,OPEN,WAYNE,273,Wayne
KINDRED HOSPITAL BAYTOWN,"1700 JAMES BOWIE DRIVE, 3RD FLOOR",TX,LONG TERM CARE,CLOSED,HARRIS,31,Harris
VIBRA HOSPITAL OF SOUTHEASTERN MICHIGAN-DMC CAMPUS,"261 MACK AVENUE, 7TH FLOOR",MI,LONG TERM CARE,OPEN,WAYNE,28,Wayne
VIBRA HOSPITAL OF SOUTHEASTERN MI - TAYLOR CAMPUS,"10000 TELEGRAPH ROAD, 2ND FLOOR",MI,LONG TERM CARE,OPEN,WAYNE,40,Wayne
HAVEN BEHAVIORAL HOSPITAL OF PHILADELPHIA,"3300 HENRY AVENUE, UNIT 4",PA,PSYCHIATRIC,OPEN,PHILADELPHIA,67,Philadelphia
"NOLAND HOSPITAL MONTGOMERY, LLC","1725 PINE STREET, 5TH FLOOR, NORTH WING",AL,LONG TERM CARE,OPEN,MONTGOMERY,65,Montgomery
SELECT SPECIALTY HOSPITAL - CLEVELAND GATEWAY,"2351 EAST 22ND STREET, 7TH FLOOR",OH,LONG TERM CARE,OPEN,CUYAHOGA,75,Cuyahoga
ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,"1925 PACIFIC AVENUE, 5TH FLOOR",NJ,SPECIAL,OPEN,ATLANTIC,30,Atlantic
SELECT SPECIALTY HOSPITAL - YOUNGSTOWN BOARDMAN,"8401 MARKET STREET, 7TH FLOOR SOUTH",OH,LONG TERM CARE,OPEN,MAHONING,24,Mahoning
SELECT SPECIALTY HOSPITAL - PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",AZ,LONG TERM CARE,OPEN,MARICOPA,48,Maricopa
WELLSTONE REGIONAL HOSPITAL,2700 VISSING PARK RD,IN,PSYCHIATRIC,OPEN,CLARK,100,Clark
KINDRED HOSPITAL SOUTH PHILADELPHIA,"1930 SOUTH BROAD STREET, UNIT 12",PA,LONG TERM CARE,OPEN,PHILADELPHIA,58,Philadelphia
GREENWOOD AMG SPECIALTY HOSPITAL,"1401 RIVER ROAD, SECOND FLOOR",MS,LONG TERM CARE,CLOSED,LEFLORE,40,Leflore
HOSPITAL FOR EXTENDED RECOVERY,"600 GRESHAM DRIVE, SUITE 700",VA,LONG TERM CARE,OPEN,NORFOLK,35,Norfolk
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",MI,GENERAL ACUTE CARE,OPEN,WASHTENAW,1000,Washtenaw
SUTTER COAST HOSPITAL,"555 5TH STREET, SUITE 2",OR,GENERAL ACUTE CARE,OPEN,CURRY,-999,Curry
SPECIALTY HOSPITAL OF LORAIN,"254 CLEVELAND AVENUE, 2ND FLOOR",OH,LONG TERM CARE,OPEN,LORAIN,30,Lorain
KINDRED HOSPITAL - LAS VEGAS AT DESERT SPRINGS HOS,"2075 EAST FLAMINGO ROAD, FIFTH FLOOR",NV,LONG TERM CARE,CLOSED,CLARK,-999,Clark
TMC HEALTHCARE CENTER FOR GEROPSYCH,"2221 NORTH ROSEMONT BOULEVARD, BLDG 3, SUITE 200",AZ,SPECIAL,OPEN,PIMA,16,Pima
SELECT SPECIALTY HOSPITAL - PHOENIX DOWNTOWN,"1012 EAST WILLETTA, 4TH FLOOR",AZ,LONG TERM CARE,OPEN,MARICOPA,33,Maricopa
HARTFORD HOSPITAL,80 SEYMOUR STREET,CT,GENERAL ACUTE CARE,OPEN,HARTFORD,867,Hartford
ONECORE HEALTH,"1044 SW 44TH STREET, SUITE 350",OK,SPECIAL,OPEN,OKLAHOMA,8,Oklahoma
BHC FAIRFAX HOSPITAL NORTH,"916 PACIFIC AVE, FL 7",WA,PSYCHIATRIC,OPEN,SNOHOMISH,-999,Snohomish
ACUITY SPECIALTY HOSPITAL OHIO VALLEY WEIRTON,"601 COLLIERS WAY, 9TH FLOOR",WV,LONG TERM CARE,OPEN,BROOKE,20,Brooke
MILTON S HERSHEY MEDICAL CENTER,"500 UNIVERSITY DRIVE, PO BOX 850",PA,GENERAL ACUTE CARE,OPEN,DAUPHIN,484,Dauphin
ST. LUKE'S MAGIC VALLEY MEDICAL CENTER,"801 POLE LINE ROAD, 409",ID,GENERAL ACUTE CARE,OPEN,TWIN FALLS,224,Twin Falls
VERMONT PSYCHIATRIC CARE HOSPITAL,"280 STATE DRIVE, NOB 2 NORTH",VT,PSYCHIATRIC,CLOSED,WASHINGTON,53,Washington
ALBANY MEDICAL CENTER - SOUTH CLINICAL CAMPUS,"25 HACKETT BOULEVARD, MC 201",NY,GENERAL ACUTE CARE,OPEN,ALBANY,18,Albany
UNIVERSITY OF ILLINOIS HOSPITAL,"1740 WEST TAYLOR ST, SUITE 1400",IL,GENERAL ACUTE CARE,OPEN,COOK,483,Cook
COVINGTON - AMG REHABILITATION HOSPITAL,"5025 KEYSTONE BLVD, SUITE 200",LA,REHABILITATION,OPEN,ST. TAMMANY,24,St. Tammany
FORT DEFIANCE INDIAN HOSPITAL,"HWY 12 & BONITO DR, BLDG. FD 3002",AZ,CRITICAL ACCESS,OPEN,APACHE,-999,Apache
BRISTOW MEDICAL CENTER,"700 WEST 7TH AVENUE, SUITE 6",OK,GENERAL ACUTE CARE,OPEN,CREEK,55,Creek
PINNACLE SPECIALTY HOSPITAL,"2408 EAST 81ST STREET, SUITE 600",OK,GENERAL ACUTE CARE,OPEN,TULSA,4,Tulsa
SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN,"1125 SOUTH TRENTON, 2ND & 3RD FLOOR",OK,LONG TERM CARE,OPEN,TULSA,56,Tulsa
JOHNSON COUNTY HOSPITAL,202 HIGH ST,NE,CRITICAL ACCESS,OPEN,JOHNSON,18,Johnson
OVERTON BROOKS VA MEDICAL CENTER,510 E STONER AVE,LA,MILITARY,OPEN,CADDO,111,Caddo
NORTHWEST TEXAS SURGERY CENTER,"3501 SONCY ROAD, SUITE 118",TX,GENERAL ACUTE CARE,OPEN,RANDALL,4,Randall
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,"5656 BEE CAVES ROAD, STE M-302",TX,GENERAL ACUTE CARE,OPEN,TRAVIS,23,Travis
PLANO SURGICAL HOSPITAL,"2301 MARSH LANE, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,DENTON,26,Denton
AD HOSPITAL EAST LLC,"12950 EAST FREEWAY, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,HARRIS,4,Harris
"SELECT SPECIALTY HOSPITAL-CINCINNATI, INC","375 DIXMYTH AVE, 15TH FLOOR",OH,LONG TERM CARE,OPEN,HAMILTON,36,Hamilton
"SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC","1320 MERCY DRIVE, 6TH FLOOR",OH,LONG TERM CARE,OPEN,STARK,30,Stark
BAYLOR EMERGENCY MEDICAL CENTER,"1975 ALPHA, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,ROCKWALL,8,Rockwall
BAYLOR EMERGENCY MEDICAL CENTER,"620 SOUTH MAIN, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,TARRANT,8,Tarrant
CARRUS SPECIALTY HOSPITAL,"1810 U.S. HIGHWAY 82 WEST, STE 200",TX,LONG TERM CARE,OPEN,GRAYSON,16,Grayson
VIBRA HOSPITAL OF RICHARDSON,"401 WEST CAMPBELL ROAD, SUITE 300",TX,LONG TERM CARE,OPEN,DALLAS,20,Dallas
BEHAVIORAL HOSPITAL OF BELLAIRE,"5314 DASHWOOD, SUITE 200 & 300",TX,PSYCHIATRIC,OPEN,HARRIS,124,Harris
SAN ANTONIO STATE HOSPITAL,"6711 SOUTH NEW BRAUNFELS, SUITE 100",TX,PSYCHIATRIC,OPEN,BEXAR,302,Bexar
TEXAS NEUROREHAB CENTER BEHAVIORAL,"1106 WEST DITTMAR ROAD, BUILDING 1 & 15",TX,PSYCHIATRIC,OPEN,TRAVIS,60,Travis
MEMORIAL HERMANN REHABILITATION HOSPITAL KATY,"21720 KINGSLAND BOULEVARD, 102",TX,REHABILITATION,OPEN,HARRIS,35,Harris
SELECT SPECIALTY HOSPITAL - DES MOINES,"1111 6TH AVENUE, 4TH FLOOR",IA,LONG TERM CARE,OPEN,POLK,21,Polk
SAWTOOTH BEHAVIORAL HEALTH,"650 ADDISON AVE WEST, SUITE 300 B",ID,PSYCHIATRIC,OPEN,TWIN FALLS,29,Twin Falls
CRESTWOOD PSYCHIATRIC HEALTH FACILITY 2,"6700 EUCALYPTUS DRIVE, STE C",CA,PSYCHIATRIC,OPEN,KERN,16,Kern
BUNKIE GENERAL HOSPITAL,"427 EVERGREEN ST, UNIT 29",LA,GENERAL ACUTE CARE,OPEN,AVOYELLES,20,Avoyelles
THE SPINE HOSPITAL OF LOUISANA,"10105 PARK ROWE CIR, STE 250",LA,GENERAL ACUTE CARE,OPEN,EAST BATON ROUGE,23,East Baton Rouge
IRWIN COUNTY HOSPITAL,710 NORTH IRWIN AVENUE,GA,GENERAL ACUTE CARE,OPEN,IRWIN,34,Irwin
CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CTR. RD., 5TH FL",CA,CHILDREN,OPEN,ORANGE,54,Orange
SELECT SPEC HOSPITAL LUKES CAMPUS,"2900 W OKLAHOMA AVE, 5TH FL",WI,GENERAL ACUTE CARE,OPEN,MILWAUKEE,29,Milwaukee
GRACIE SQUARE HOSPITAL,"420 E 76TH ST, 2ND, 3RD, 4TH & 5TH FLOORS",NY,PSYCHIATRIC,OPEN,NEW YORK,157,New York
UPMC PINNACLE HOSPITAL,409 SOUTH SECOND STREET,PA,GENERAL ACUTE CARE,OPEN,DAUPHIN,627,Dauphin
SELECT SPECIALTY HOSPITAL - TRICITIES,"1 MEDICAL PARK BOULEVARD, 5TH FLOOR WEST",TN,LONG TERM CARE,OPEN,SULLIVAN,33,Sullivan
NORTH CENTRAL SURGICAL CENTER,"9301 NORTH CENTRAL EXPRESSWAY, UNIT 100",TX,GENERAL ACUTE CARE,OPEN,DALLAS,25,Dallas
SELECT SPECIALTY HOSPITAL - LONGVIEW,"700 EAST MARSHALL AVENUE, 1ST FLOOR",TX,GENERAL ACUTE CARE,OPEN,GREGG,31,Gregg
SELECT SPECIALTY HOSPITAL - KNOXVILLE,"1901 CLINCH AVENUE, 4TH FLOOR NORTH",TN,LONG TERM CARE,OPEN,KNOX,68,Knox
ALBANY MEDICAL CENTER,43 NEW SCOTLAND AVE,NY,GENERAL ACUTE CARE,OPEN,ALBANY,716,Albany
ENCOMPASS HEALTH REHABILITATION HOSPITAL,"4500 13TH STREET, 3RD FLOOR",MS,REHABILITATION,OPEN,HARRISON,33,Harrison
KINDRED HOSPITAL CENTRAL OHIO,"335 GLESSNER AVENUE, 5TH FLOOR",OH,LONG TERM CARE,CLOSED,RICHLAND,33,Richland
KINDRED HOSPITAL DALLAS CENTRAL,"8050 MEADOW ROAD, FIRST FLOOR",TX,LONG TERM CARE,OPEN,DALLAS,60,Dallas
SOLARA HOSPITAL MCALLEN,"301 WEST EXPRESSWAY 83, 8TH FLOOR",TX,LONG TERM CARE,OPEN,HIDALGO,53,Hidalgo
WILLIAM P. CLEMENTS JR. UNIVERSITY HOSPITAL,"6161 HARRY HINES BOULEVARD, SUITE 100",TX,LONG TERM CARE,OPEN,DALLAS,460,Dallas
CORNERSTONE SPECIALITY HOSPITAL - MEDICAL CENTER,"2001 HERMANN DRIVE, SUITE 100",TX,LONG TERM CARE,OPEN,HARRIS,35,Harris
PAM SPECIALTY HOSPITAL OF TEXARKANA SOUTH,"1000 PINE STREET, 6TH FLOOR",TX,LONG TERM CARE,OPEN,BOWIE,19,Bowie
SELECT SPECIALTY HOSPITAL - DALLAS (DOWNTOWN),"3500 GASTON AVENUE, 3RD AND 4TH FLOOR",TX,LONG TERM CARE,OPEN,DALLAS,46,Dallas
KINDRED HOSPITAL THE HEIGHTS,"1800 WEST 26TH STREET, FLOORS 3,4, & 5",TX,LONG TERM CARE,OPEN,HARRIS,68,Harris
ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,"2601 DIMMIT ROAD, FOURTH FLOOR",TX,PSYCHIATRIC,OPEN,HALE,20,Hale
CASA AMISTAD,"1500 PAPPAS, UNIT 664",TX,PSYCHIATRIC,OPEN,WEBB,-999,Webb
KATE DISHMAN REHABILITATION HOSPITAL,"2830 CALDER STREET, 6TH FLOOR SOUTH",TX,REHABILITATION,OPEN,JEFFERSON,27,Jefferson
CARRUS REHABILITATION HOSPITAL,"1810 WEST HIGHWAY 82, STE 100",TX,REHABILITATION,OPEN,GRAYSON,24,Grayson
ACCEL REHABILITATION HOSPITAL OF PLANO,"2301 MARSH LANE, SUITE 200",TX,REHABILITATION,OPEN,DENTON,42,Denton
EL PASO SPECIALTY HOSPITAL,"1755 CURIE, SUITE A",TX,SPECIAL,OPEN,EL PASO,31,El Paso
NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET ST, 2ND FLOOR",AL,LONG TERM CARE,OPEN,LIMESTONE,31,Limestone
CONTINUING CARE HOSPITAL,"1026 A AVENUE NE, 6TH FLOOR",IA,LONG TERM CARE,OPEN,LINN,24,Linn
ASCENSION SACRED HEART HOSPITAL,"401 W MOHAWK DR, SUITE 100",WI,CRITICAL ACCESS,OPEN,LINCOLN,18,Lincoln
OCHSNER EXTENDED CARE HOSPITAL OF KENNER,"180 W ESPLANADE AVE, FL 5",LA,LONG TERM CARE,OPEN,JEFFERSON,34,Jefferson
BEACON BEHAVIORAL HOSPITAL-NEW ORLEANS,"14500 HAYNE BLVD, STE 200",LA,PSYCHIATRIC,OPEN,ORLEANS,24,Orleans
REGENCY HOSPITAL OF SOUTH ATLANTA,"1170 CLEVELAND AVE, 4TH FLOOR",GA,GENERAL ACUTE CARE,OPEN,FULTON,40,Fulton
"PROMISE HOSPITAL OF BATON ROUGE, INC.","17000 MEDICAL CENTER DRIVE, 3RD FLOOR",LA,LONG TERM CARE,OPEN,EAST BATON ROUGE,54,East Baton Rouge
BUCKHEAD AMBULATORY SURGICAL CENTER,"2061 PEACHTREE RD NW, UNIT 300",GA,GENERAL ACUTE CARE,OPEN,FULTON,-999,Fulton
PIONEER SPECIALTY HOSPITAL,"50 NORTH PERRY, 6TH FLOOR",MI,LONG TERM CARE,OPEN,OAKLAND,30,Oakland
"SELECT SPECIALTY HOSPITAL - WYANDOTTE, LLC","2333 BIDDLE AVE, 8TH FLOOR",MI,LONG TERM CARE,OPEN,WAYNE,35,Wayne
SELECT SPECIALTY HOSPITAL - DURHAM,"3643 NORTH ROXBORO STREET, 6TH FLOOR",NC,GENERAL ACUTE CARE,OPEN,DURHAM,30,Durham
SISTER EMMANUEL HOSPITAL,"3663 S MIAMI AVE, 4TH FLOOR",FL,LONG TERM CARE,OPEN,MIAMI-DADE,29,Miami-Dade
"NOLAND HOSPITAL TUSCALOOSA, LLC","809 UNIVERSITY BLVD EAST, 4TH FLOOR",AL,LONG TERM CARE,OPEN,TUSCALOOSA,32,Tuscaloosa
SELECT SPECIALTY HOSPITAL MT. CARMEL,"793 WEST STATE STREET, 5TH FLOOR",OH,LONG TERM CARE,OPEN,FRANKLIN,24,Franklin
"SELECT SPECIALTY HOSPITAL-COLUMBUS, INC","1087 DENNISON AVENUE, 2ND FLOOR",OH,LONG TERM CARE,OPEN,FRANKLIN,162,Franklin
SELECT SPECIALTY HOSPITAL COLUMBUS EAST,"181 TAYLOR AVE, 6TH FLOOR",OH,LONG TERM CARE,OPEN,FRANKLIN,23,Franklin
KINDRED HOSPITAL AT ST ROSE DE LIMA CAMPUS,"102 E LAKE MEAD PARKWAY, THIRD FLOOR",NV,LONG TERM CARE,OPEN,CLARK,-999,Clark
TAHOE PACIFIC HOSPITALS-NORTH,"2375 E PRATER WAY, 7TH FLOOR",NV,LONG TERM CARE,OPEN,WASHOE,21,Washoe
REGENCY HOSPITAL OF JACKSON,"969 LAKELAND DRIVE, 6TH FLOOR",MS,LONG TERM CARE,CLOSED,HINDS,36,Hinds
STAMFORD HOSPITAL,"30 SHELBURNE ROAD, PO BOX 9317",CT,GENERAL ACUTE CARE,OPEN,FAIRFIELD,305,Fairfield
GREENBRIAR REHABILITATION HOSPITAL,"8064 SOUTH AVENUE, SUITE ONE",OH,REHABILITATION,OPEN,MAHONING,-999,Mahoning
REGENCY HOSPITAL OF CINCINNATI LLC,"10500 MONTGOMERY ROAD, 1ST FLOOR",OH,LONG TERM CARE,OPEN,HAMILTON,41,Hamilton
HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,"ONE ELIZABETH PLACE, E3 SUITE A",OH,PSYCHIATRIC,OPEN,MONTGOMERY,32,Montgomery
BAYLOR EMERGENCY MEDICAL CENTER,"1776 NORTH US 287, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,TARRANT,8,Tarrant
CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,"1900 PINE, 7TH FLOOR",TX,LONG TERM CARE,OPEN,TAYLOR,46,Taylor
CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,"2830 CALDER AVENUE, 4TH FLOOR",TX,LONG TERM CARE,OPEN,JEFFERSON,51,Jefferson
PAM SPECIALTY HOSPITAL OF LUFKIN,"1201 WEST FRANK AVENUE, SUITE 5D",TX,LONG TERM CARE,OPEN,ANGELINA,26,Angelina
KINDRED HOSPITAL - SAN ANTONIO CENTRAL,"111 DALLAS STREET, 4TH FLOOR",TX,LONG TERM CARE,OPEN,BEXAR,44,Bexar
CONTINUECARE HOSPITAL OF MIDLAND,"4214 ANDREWS HIGHWAY, SUITE 320",TX,LONG TERM CARE,OPEN,MIDLAND,29,Midland
CHRISTUS SANTA ROSA HOSPITAL - ALAMO HEIGHTS,"403 TREELINE PARK, BUILDING 1",TX,GENERAL ACUTE CARE,OPEN,BEXAR,36,Bexar
ASPIRE BEHAVIORAL HEALTH OF CONROE,"2006 SOUTH LOOP 336 WEST, SUITE 500",TX,PSYCHIATRIC,OPEN,MONTGOMERY,30,Montgomery
EATING RECOVERY CENTER,"4708 ALLIANCE BOULEVARD, THIRD FLOOR",TX,PSYCHIATRIC,OPEN,COLLIN,24,Collin
GARLAND BEHAVIORAL HOSPITAL,"2300 MARIE CURIE BLVD, 5TH FLOOR",TX,PSYCHIATRIC,OPEN,DALLAS,72,Dallas
METHODIST AMBULATORY SURGERY HOSPITAL - NORTHWEST,"9150 HUEBNER ROAD, SUITE 100",TX,SPECIAL,OPEN,BEXAR,31,Bexar
BIENVILLE MEDICAL CENTER,"1175 PINE ST, STE 200",LA,GENERAL ACUTE CARE,OPEN,BIENVILLE,21,Bienville
ST AGNES HSPTL,430 E DIVISON ST,WI,GENERAL ACUTE CARE,OPEN,FOND DU LAC,146,Fond Du Lac
SELECT SPECIALTY HOSPITAL - DAYTONA BEACH,"301 MEMORIAL MEDICAL PARKWAY, 11TH FLOOR",FL,LONG TERM CARE,OPEN,VOLUSIA,34,Volusia
"BAPTIST HEALTH EXTENDED CARE HOSPITAL-LITTLE ROCK, INC.","9601 INTERSTATE 630, EXIT 7, 10TH FLOOR",AR,LONG TERM CARE,OPEN,PULASKI,55,Pulaski
CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,"300 WERNER STREET, 3RD FLOOR",AR,LONG TERM CARE,OPEN,GARLAND,27,Garland
WESTBURY COMMUNITY HOSPITAL,"6060 RICHMOND AVE, UNIT 380",TX,PSYCHIATRIC,CLOSED,HARRIS,137,Harris
RIVERVIEW BEHAVIORAL HEALTH,"701 ARKANSAS BOULEVARD, SUITE 300",AR,PSYCHIATRIC,OPEN,MILLER,62,Miller
CORNERSTONE HOSPITAL LITTLE ROCK,"2 ST VINCENT CIRCLE, 6TH FLOOR",AR,LONG TERM CARE,OPEN,PULASKI,40,Pulaski
ENCOMPASS HEALTH REH AT LOWELL,"1071 VARNUM AVENUE, GROUND FLOOR",MA,REHABILITATION,OPEN,MIDDLESEX,22,Middlesex
SELECT SPECIALTY HOSPITAL - MACOMB COUNTY,"215 NORTH AVE, SUITE 200",MI,LONG TERM CARE,OPEN,MACOMB,30,Macomb
SELECT SPECIALTY HOSPITAL - GRAND RAPIDS,"200 SE JEFFERSON, 5TH FLOOR",MI,LONG TERM CARE,CLOSED,KENT,20,Kent
INSTITUTE FOR ORTHOPEDIC SURGERY,"801 MEDICAL DRIVE, SUITE B",OH,SPECIAL,OPEN,ALLEN,12,Allen
SELECT SPECIALTY HOSPITAL CENTRAL PENNSYLVANIA CAMP HILL,"503 NORTH 21ST STREET, 5TH FLOOR",PA,LONG TERM CARE,OPEN,CUMBERLAND,31,Cumberland
KINDRED HOSPITAL - DELAWARE COUNTY,"1500 LANSDOWNE AVENUE, 6TH FLOOR MSB",PA,LONG TERM CARE,CLOSED,DELAWARE,39,Delaware
HAVEN BEHAVIORAL SERVICES,"1201 SOUTH 7TH AVENUE, SUITE 200",AZ,PSYCHIATRIC,OPEN,MARICOPA,-999,Maricopa
"NEBRASKA SPINE HOSPITAL, LLC","6901 NORTH 72ND STREET, SUITE 20300",NE,SPECIAL,OPEN,DOUGLAS,34,Douglas
PROMISE HOSPITAL OF VICKSBURG,"1111 FRONTAGE ROAD, 2ND FLOOR",MS,LONG TERM CARE,OPEN,WARREN,35,Warren
SELECT SPECIALTY HOSPITAL ARIZONA INC.,"7400 EAST OSBORN RD, 3RD FLOOR",AZ,LONG TERM CARE,OPEN,MARICOPA,-999,Maricopa
CENTRA SPECIALTY HOSPITAL,"3300 RIVERMONT AVENUE, KRISE 3",VA,LONG TERM CARE,OPEN,LYNCHBURG,36,Lynchburg
EIELSON MEDICAL CLINIC,"2630 CENTRAL AVENUE, SUITE 1M07",AK,MILITARY,OPEN,FAIRBANKS NORTH STAR,-999,Fairbanks North Star
BAYLOR EMERGENCY MEDICAL CENTER,"511 FM 544, SUITE 100",TX,GENERAL ACUTE CARE,OPEN,COLLIN,8,Collin
WILLS EYE HOSPITAL,"840 WALNUT STREET, 7TH FLOOR",PA,SPECIAL,OPEN,PHILADELPHIA,4,Philadelphia
PAM SPECIALTY HOSPITAL OF VICTORIA SOUTH,"506 EAST SAN ANTONIO STREET, 3RD FL",TX,LONG TERM CARE,OPEN,VICTORIA,23,Victoria
CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,"500 W 4TH STREET, 4TH FLOOR",TX,LONG TERM CARE,OPEN,ECTOR,23,Ector
LAFAYETTE GENERAL SURGICAL HOSPITAL,"1000 W PINHOOK RD, STE 100",LA,GENERAL ACUTE CARE,OPEN,LAFAYETTE,10,Lafayette
NAVAL HEALTH CLINIC CHERRY POINT,"BEAUFORT ROAD, BUILDING 4385",NC,GENERAL ACUTE CARE,OPEN,CRAVEN,-999,Craven
OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SPECIALTY,"8100 SOUTH WALKER, SUITE C",OK,SPECIAL,OPEN,OKLAHOMA,9,Oklahoma
KINDRED REHABILITATION HOSPITAL ARLINGTON,"2601 WEST RANDOL MILL ROAD, UNIT 101",TX,REHABILITATION,CLOSED,TARRANT,24,Tarrant
SPECIALTY REHABILITATION HOSPITAL OF COUSHATTA,"1110 RINGGOLD AVE, STE B",LA,REHABILITATION,OPEN,RED RIVER,12,Red River
PROMISE HOSPITAL OF LOUISIANA-SHREVEPORT CAMPUS,"1800 IRVING PL, STE 100",LA,LONG TERM CARE,OPEN,CADDO,146,Caddo
SELECT SPECIALTY HOSPITAL - NORTHWEST DETROIT,"6071 WEST OUTER DRIVE, 7TH FLOOR",MI,LONG TERM CARE,OPEN,WAYNE,36,Wayne
ACUITY SPECIALTY OHIO VALLEY,"380 SUMMIT AVENUE, 3RD FLOOR",OH,LONG TERM CARE,CLOSED,JEFFERSON,24,Jefferson
CENTRAL INDIANA AMG SPECIALTY HOSPITAL LLC,"2401 W UNIVERSITY AVE, 8TH FL",IN,LONG TERM CARE,OPEN,DELAWARE,16,Delaware
KINDRED HOSPITAL NORTHWEST INDIANA,"5454 HOHMAN AVE, 5TH FL",IN,LONG TERM CARE,OPEN,LAKE,215,Lake
SELECT SPECIALTY HOSPITAL JOHNSTOWN,"320 MAIN STREET, THIRD FLOOR",PA,LONG TERM CARE,OPEN,CAMBRIA,39,Cambria
PAM SPECIALTY HOSPITAL OF WILKES-BARRE,"575 NORTH RIVER STREET, 7TH FLOOR",PA,LONG TERM CARE,OPEN,LUZERNE,36,Luzerne
BANNER GOOD SAMARITAN MEDICAL CENTER,"1300 NORTH 12TH STREET, SUITE 404",AZ,SPECIAL,OPEN,MARICOPA,-999,Maricopa
REGENCY HOSPITAL OF NORTHWEST INDIANA,"4321 FIR ST, 4TH FL",IN,LONG TERM CARE,OPEN,LAKE,220,Lake
"HEALTHSOUTH/MAINE MEDICAL CENTER,LLC","335 BRIGHTON AVENUE, UNIT 201",ME,REHABILITATION,OPEN,CUMBERLAND,100,Cumberland
ST. BERNARD PARISH HOSPITAL,"8000 WEST JUDGE PEREZ DRIVE, STE 1600",LA,GENERAL ACUTE CARE,OPEN,ST. BERNARD,40,St. Bernard
SHELTERING ARMS HOSPITAL SOUTH,"13700 ST. FRANCIS BOULEVARD, SUITE 400",VA,REHABILITATION,OPEN,CHESTERFIELD,28,Chesterfield
ST. CATHERINE OF SIENA MEDICAL CENTER,"50 ROUTE, 25 A",NY,GENERAL ACUTE CARE,OPEN,SUFFOLK,306,Suffolk
"SELECT SPECIALTY HOSPITAL - FORT SMITH, INC.","1001 TOWSON AVENUE, SIXTH FLOOR",AR,GENERAL ACUTE CARE,OPEN,SEBASTIAN,34,Sebastian
CHRISTUS DUBUIS OF FORTH SMITH,"7301 ROGERS AVENUE, 4TH FLOOR",AR,LONG TERM CARE,OPEN,SEBASTIAN,25,Sebastian
ENCOMPASS HEALTH NEW ENGLAND REHABILIATION AT BEVERLY,"800 CUMMINGS CENTER, 1ST FL, UNIT147",MA,REHABILITATION,OPEN,ESSEX,20,Essex
SELECT SPECIALTY HOSPITAL - FLINT,"401 S BALLENGER, 5TH FLOOR",MI,LONG TERM CARE,OPEN,GENESEE,26,Genesee
SELECT SPECIALTY HOSPITAL - PONTIAC,"44405 WOODWARD AVENUE, 8TH FLOOR",MI,LONG TERM CARE,OPEN,OAKLAND,30,Oakland
SELECT SPECIALTY HOSPITAL - MUSKEGON,"1700 CLINTON STREET, 2 AND 3 S FLOORS",MI,LONG TERM CARE,OPEN,MUSKEGON,31,Muskegon
